Test Type,Array Size,Algorithm,Comparisons,Time (ns)
Inverse Sorted Array,11,Insertion Sort,55,125
Random Array,12,Heap Sort,51,458
Random Array,12,Bubble Sort,66,334
Random Array,12,Selection Sort,66,333
Random Array,12,Insertion Sort,36,167
Sorted Array,12,Heap Sort,47,375
Sorted Array,12,Bubble Sort,66,166
Sorted Array,12,Selection Sort,66,208
Sorted Array,12,Insertion Sort,11,84
Inverse Sorted Array,12,Heap Sort,55,667
Inverse Sorted Array,12,Bubble Sort,66,292
Inverse Sorted Array,12,Selection Sort,66,333
Inverse Sorted Array,12,Insertion Sort,66,208
Random Array,13,Heap Sort,59,625
Random Array,13,Bubble Sort,78,500
Random Array,13,Selection Sort,78,458
Random Array,13,Insertion Sort,44,250
Sorted Array,13,Heap Sort,55,542
Sorted Array,13,Bubble Sort,78,209
Sorted Array,13,Selection Sort,78,542
Sorted Array,13,Insertion Sort,12,83
Inverse Sorted Array,13,Heap Sort,63,10958
Inverse Sorted Array,13,Bubble Sort,78,875
Inverse Sorted Array,13,Selection Sort,78,666
Inverse Sorted Array,13,Insertion Sort,78,583
Random Array,14,Heap Sort,67,1125
Random Array,14,Bubble Sort,91,916
Random Array,14,Selection Sort,91,708
Random Array,14,Insertion Sort,42,458
Sorted Array,14,Heap Sort,61,1042
Sorted Array,14,Bubble Sort,91,291
Sorted Array,14,Selection Sort,91,292
Sorted Array,14,Insertion Sort,13,83
Inverse Sorted Array,14,Heap Sort,69,833
Inverse Sorted Array,14,Bubble Sort,91,417
Inverse Sorted Array,14,Selection Sort,91,459
Inverse Sorted Array,14,Insertion Sort,91,292
Random Array,15,Heap Sort,76,834
Random Array,15,Bubble Sort,105,666
Random Array,15,Selection Sort,105,792
Random Array,15,Insertion Sort,58,459
Sorted Array,15,Heap Sort,66,916
Sorted Array,15,Bubble Sort,105,334
Sorted Array,15,Selection Sort,105,250
Sorted Array,15,Insertion Sort,14,41
Inverse Sorted Array,15,Heap Sort,77,583
Inverse Sorted Array,15,Bubble Sort,105,375
Inverse Sorted Array,15,Selection Sort,105,459
